iter	Passed	Remaining
342	1367	2619
343	1369	2612
344	1372	2606
345	1375	2600
346	1378	2593
347	1381	2587
348	1384	2582
349	1387	2575
350	1389	2569
351	1392	2563
352	1394	2556
353	1397	2549
354	1401	2546
355	1404	2540
356	1406	2533
357	1409	2527
358	1412	2521
359	1417	2519
360	1419	2513
361	1422	2507
362	1425	2500
363	1427	2494
364	1432	2492
365	1434	2485
366	1437	2479
367	1440	2473
368	1442	2467
369	1447	2465
370	1450	2459
371	1453	2454
372	1456	2448
373	1459	2443
374	1463	2439
375	1465	2432
376	1467	2425
377	1470	2419
378	1473	2415
379	1477	2411
380	1480	2404
381	1483	2399
382	1485	2393
383	1490	2390
384	1492	2384
385	1495	2378
386	1497	2371
387	1499	2365
388	1501	2359
389	1507	2357
390	1509	2351
391	1511	2344
392	1514	2338
393	1516	2332
394	1520	2328
395	1522	2322
396	1525	2317
397	1527	2310
398	1529	2304
399	1531	2297
400	1534	2292
401	1537	2286
402	1539	2280
403	1541	2274
404	1544	2268
405	1547	2263
406	1550	2258
407	1552	2253
408	1555	2247
409	1557	2241
410	1560	2235
411	1562	2230
412	1565	2224
413	1568	2219
414	1570	2213
415	1572	2207
416	1574	2201
417	1578	2197
418	1580	2191
419	1583	2186
420	1585	2180
421	1588	2175
422	1591	2170
423	1594	2165
424	1596	2160
425	1599	2155
